Time_min,Temperature_C,Experiment_ID
0,18.93847194346219,thermal_study_01
2,25.785565654062985,thermal_study_01
4,30.890136494765837,thermal_study_01
6,33.664139792511094,thermal_study_01
8,34.796864146774595,thermal_study_01
10,33.29341919937748,thermal_study_01
12,30.231418210294994,thermal_study_01
14,23.24960872189027,thermal_study_01
16,17.074487430775687,thermal_study_01
18,11.12738677878828,thermal_study_01
20,5.570540531759143,thermal_study_01
22,5.062286162888987,thermal_study_01
24,5.779324913028465,thermal_study_01
26,10.700259202203053,thermal_study_01
28,13.754679630277154,thermal_study_01
30,20.22616050675019,thermal_study_01
32,26.075015818858063,thermal_study_01
34,30.270663853946264,thermal_study_01
36,35.12296485531357,thermal_study_01
38,35.481778205039184,thermal_study_01
40,33.58365501704887,thermal_study_01
42,28.134738193291046,thermal_study_01
44,24.170771095468485,thermal_study_01
46,15.829936340639414,thermal_study_01
48,11.62336403596311,thermal_study_01
50,8.652460662590904,thermal_study_01
52,4.339269325627882,thermal_study_01
54,5.3094289583706145,thermal_study_01
56,8.927566141654818,thermal_study_01
58,13.521343613275858,thermal_study_01
60,18.837002426700366,thermal_study_01
