Time_min,Temperature_C,Experiment_ID
0,20.868946684255555,thermal_study_03
2,25.48553790737322,thermal_study_03
4,31.869704479094157,thermal_study_03
6,34.57543343962968,thermal_study_03
8,35.53437355051997,thermal_study_03
10,34.41297579375704,thermal_study_03
12,28.632737697384943,thermal_study_03
14,22.553373238998272,thermal_study_03
16,16.214188815514472,thermal_study_03
18,10.571363501888825,thermal_study_03
20,6.9517926611728456,thermal_study_03
22,5.3380355505883825,thermal_study_03
24,5.94167035507021,thermal_study_03
26,9.473215054616107,thermal_study_03
28,13.908701772771428,thermal_study_03
30,21.09015055786797,thermal_study_03
32,25.90255702120853,thermal_study_03
34,33.18729925710313,thermal_study_03
36,34.73509825525106,thermal_study_03
38,34.274960263211895,thermal_study_03
40,32.18721168322075,thermal_study_03
42,29.17863309581949,thermal_study_03
44,22.951078273272024,thermal_study_03
46,17.41682500830269,thermal_study_03
48,11.538149434043067,thermal_study_03
50,6.954997258740765,thermal_study_03
52,4.447076280924595,thermal_study_03
54,4.598016837058295,thermal_study_03
56,8.517941403788821,thermal_study_03
58,14.541249449605612,thermal_study_03
60,20.16057030809762,thermal_study_03
