Time_min,FlowRate_L/min,Experiment_ID
0,0.9316967072339876,flow_analysis_01
2,7.9530461722146075,flow_analysis_01
4,10.077143398795226,flow_analysis_01
6,6.009852486712992,flow_analysis_01
8,-0.9648602300206056,flow_analysis_01
10,-7.01607905465642,flow_analysis_01
12,-7.824722787281278,flow_analysis_01
14,-2.27830884402274,flow_analysis_01
16,4.821286756366468,flow_analysis_01
18,9.247699328789087,flow_analysis_01
20,9.199048578004914,flow_analysis_01
22,3.009490001754322,flow_analysis_01
24,-3.924279317154723,flow_analysis_01
26,-7.667364079448835,flow_analysis_01
28,-6.06135118421148,flow_analysis_01
30,0.7479185319113433,flow_analysis_01
32,8.024585551602009,flow_analysis_01
34,10.225363677759518,flow_analysis_01
36,6.280661553348395,flow_analysis_01
38,-0.8184078948708714,flow_analysis_01
40,-6.219279430955148,flow_analysis_01
42,-7.825715771632508,flow_analysis_01
44,-2.41443596615571,flow_analysis_01
46,4.569643094086934,flow_analysis_01
48,9.461552105204131,flow_analysis_01
50,9.288678217454182,flow_analysis_01
52,3.2426425744044343,flow_analysis_01
54,-3.923987934431965,flow_analysis_01
56,-7.363231595095012,flow_analysis_01
58,-5.678851700561798,flow_analysis_01
60,1.3068788370826931,flow_analysis_01
