Time_min,FlowRate_L/min,Experiment_ID
0,0.48380804462060156,flow_analysis_02
2,7.419395986666925,flow_analysis_02
4,10.404224173669505,flow_analysis_02
6,5.830907203008004,flow_analysis_02
8,-0.7924824654770823,flow_analysis_02
10,-7.262511013213371,flow_analysis_02
12,-7.123026664781728,flow_analysis_02
14,-2.6284529024311682,flow_analysis_02
16,3.734809852380747,flow_analysis_02
18,9.803925384264476,flow_analysis_02
20,8.630229993721228,flow_analysis_02
22,2.9300982802791022,flow_analysis_02
24,-4.984027833198313,flow_analysis_02
26,-8.07843784744549,flow_analysis_02
28,-4.5722296486859975,flow_analysis_02
30,1.0826515338489546,flow_analysis_02
32,7.763641663099409,flow_analysis_02
34,9.78409711267072,flow_analysis_02
36,5.946123979395363,flow_analysis_02
38,0.06105014465138747,flow_analysis_02
40,-6.839968795762565,flow_analysis_02
42,-7.7871290054330755,flow_analysis_02
44,-2.2509221924772715,flow_analysis_02
46,4.8025546502861065,flow_analysis_02
48,10.28586447744796,flow_analysis_02
50,8.743380029794327,flow_analysis_02
52,2.252121924864663,flow_analysis_02
54,-4.540047776445092,flow_analysis_02
56,-7.657679725156124,flow_analysis_02
58,-5.569244224220364,flow_analysis_02
60,0.47195654178379254,flow_analysis_02
